HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Previous Names	Synonyms	Chromosome	Accession Numbers	RefSeq IDs
HGNC:2048	CLDN6	claudin 6	Approved				16p13.3	AJ249735	NM_021195
HGNC:2049	CLDN7	claudin 7	Approved	CEPTRL2, CPETRL2		Hs.84359	17p13.1	AJ011497	NM_001307
HGNC:2050	CLDN8	claudin 8	Approved				21q22.1	AJ250711	NM_199328
HGNC:2051	CLDN9	claudin 9	Approved				16p13.3	AJ130941	NM_020982
HGNC:2033	CLDN10	claudin 10	Approved			OSP-L, CPETRL3	13q31-q34	U89916	NM_006984
HGNC:8514	CLDN11	claudin 11	Approved	OTM	"oligodendrocyte transmembrane protein"	OSP	3q26.2-q26.3	AF068863	NM_005602
HGNC:2034	CLDN12	claudin 12	Approved				7q21	AJ250713	NM_012129
HGNC:2035	CLDN14	claudin 14	Approved	DFNB29			21q22.3	AJ132445	NM_144492
HGNC:2036	CLDN15	claudin 15	Approved				7q22	AJ245738	NM_014343
HGNC:2037	CLDN16	claudin 16	Approved			PCLN1, HOMG3	3q28	AF152101	NM_006580
HGNC:2038	CLDN17	claudin 17	Approved			MGC126552, MGC126554	21q22.1	AJ250712	NM_012131
HGNC:2039	CLDN18	claudin 18	Approved	SFTPJ	"surfactant associated protein J"		3q22.3	AF221069, AY102073	NM_001002026
HGNC:2040	CLDN19	claudin 19	Approved				1p34.2	AK096063	NM_148960
HGNC:2042	CLDN20	claudin 20	Approved				6q25	BC020838	NM_001001346
HGNC:2044	CLDN22	claudin 22	Approved			CLDN21	4q35.1	AK098064	
HGNC:17591	CLDN23	claudin 23	Approved			CLDNL	8p23.1	AK123547	NM_194284
HGNC:37200	CLDN24	claudin 24	Approved	CLDN21	"claudin 21"		4q35.1		XM_001714660
HGNC:37218	CLDN25	claudin 25	Approved				11q23.2		NM_001101389
HGNC:1322	CLDND1	claudin domain containing 1	Approved	C3orf4	"chromosome 3 open reading frame 4"		3q12.1	AF116664	NM_019895
HGNC:28511	CLDND2	claudin domain containing 2	Approved			MGC33839	19q13.41	BC029518	NM_152353
HGNC:24355	CLEC1A	C-type lectin domain family 1, member A	Approved			CLEC1, MGC34328	12p13.31	AY358587	NM_016511
HGNC:24356	CLEC1B	C-type lectin domain family 1, member B	Approved			CLEC2	12p13.31	AF124841	NM_016509
HGNC:24191	CLEC2A	C-type lectin domain family 2, member A	Approved			UNQ5792, INPE5792, KACL, PILAR	12p13.31	AY359126	NM_207375
HGNC:2053	CLEC2B	C-type lectin domain family 2, member B	Approved	CLECSF2	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced)"	AICL, HP10085	12p13-p12	X96719	NM_005127
HGNC:14351	CLEC2D	C-type lectin domain family 2, member D	Approved		"C-type lectin superfamily 2, member D"	LLT1, CLAX, OCIL	12p13.31	AF133299	NM_013269
HGNC:21969	CLEC2L	C-type lectin domain family 2, member L	Approved			FLJ32986	7q34	AK057548	NM_001080511
HGNC:2052	CLEC3A	C-type lectin domain family 3, member A	Approved	CLECSF1	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 1 (cartilage-derived)"		16q23	AF077345	NM_005752
HGNC:11891	CLEC3B	C-type lectin domain family 3, member B	Approved	TNA	"tetranectin (plasminogen binding protein)"	TN	3p22-p21.3		NM_003278
HGNC:13257	CLEC4A	C-type lectin domain family 4, member A	Approved	CLECSF6	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 6"	DCIR, DDB27	12p13	AJ133532	NM_194450
HGNC:13258	CLEC4C	C-type lectin domain family 4, member C	Approved	CLECSF11, CLECSF7	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 7"	HECL, DLEC, BDCA2, CD303	12p13.2-p12.3	AF325460	NM_203503
HGNC:14554	CLEC4D	C-type lectin domain family 4, member D	Approved	CLECSF8	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 8"	Mpcl	12p13.31	AF411850	NM_080387
HGNC:14555	CLEC4E	C-type lectin domain family 4, member E	Approved	CLECSF9	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 9"	mincle	12p13.31	AB024718	NM_014358
HGNC:25357	CLEC4F	C-type lectin domain family 4, member F	Approved	CLECSF13	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 13"	FLJ39110, KCLR	2p13.3	AK096429	NM_173535
HGNC:24591	CLEC4G	C-type lectin domain family 4, member G	Approved		"C-type lectin superfamily 4, member G"	UNQ431, LSECtin	19p13.2	AY358431	NM_198492
HGNC:13523	CLEC4M	C-type lectin domain family 4, member M	Approved	CD209L, CD299	"CD299 antigen"	HP10347, DC-SIGNR, LSIGN, DCSIGNR, DC-SIGN2	19p13	AB015629	NM_014257
HGNC:2054	CLEC5A	C-type lectin domain family 5, member A	Approved	CLECSF5	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 5"	MDL-1	7q34		NM_013252
HGNC:14556	CLEC6A	C-type lectin domain family 6, member A	Approved	CLECSF10	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 10"	dectin-2	12p13	AY321309	NM_001007033
HGNC:14558	CLEC7A	C-type lectin domain family 7, member A	Approved	CLECSF12	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12"	dectin-1, hDectin-1	12p13.2-p12.3	AY009090	NM_197954
HGNC:26705	CLEC9A	C-type lectin domain family 9, member A	Approved			UNQ9341, HEEE9341	12p13.31		NM_207345
HGNC:16916	CLEC10A	C-type lectin domain family 10, member A	Approved	CLECSF13, CLECSF14	"C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 14 (macrophage-derived)"	HML2, HML, CD301	17p13.2	D50532	NM_006344
HGNC:10576	CLEC11A	C-type lectin domain family 11, member A	Approved	SCGF	"stem cell growth factor; lymphocyte secreted C-type lectin"	P47, LSLCL, CLECSF3	19q13.3	AF087658	NM_002975
HGNC:31713	CLEC12A	C-type lectin domain family 12, member A	Approved			CLL-1, MICL	12p13.31	AY498550	NM_138337
HGNC:31966	CLEC12B	C-type lectin domain family 12, member B	Approved				12p13.2	AK128243	NM_205852
HGNC:19832	CLEC14A	C-type lectin domain family 14, member A	Approved	C14orf27	"chromosome 14 open reading frame 27"		14q21.1		NM_175060
HGNC:29013	CLEC16A	C-type lectin domain family 16, member A	Approved	KIAA0350	"KIAA0350"	Gop-1	16p13.13	AB002348	NM_015226
HGNC:34520	CLEC17A	C-type lectin domain family 17, member A	Approved			FLJ45910	19p13.12	AK127809	NM_207390
HGNC:30388	CLEC18A	C-type lectin domain family 18, member A	Approved			MRCL	16q22.1	AF428259	NM_182619
HGNC:33849	CLEC18B	C-type lectin domain family 18, member B	Approved				16q22.3	AY358373	NM_001011880
HGNC:28538	CLEC18C	C-type lectin domain family 18, member C	Approved			MGC34761	16q22.1	AL833339	NM_173619
HGNC:34522	CLEC19A	C-type lectin domain family 19, member A	Approved				16p12.3		NM_00125672
HGNC:24462	CLECL1	C-type lectin-like 1	Approved			DCAL1	12p13.31	AF518873	NM_172004
HGNC:2060	CLGN	calmegin	Approved				4q28.3-q31.1	D86322	NM_004362
HGNC:26453	CLHC1	clathrin heavy chain linker domain containing 1	Approved	C2orf63	"chromosome 2 open reading frame 63"	FLJ31438	2p16.1		NM_152385
HGNC:2062	CLIC1	chloride intracellular channel 1	Approved			NCC27, p64CLCP	6p21.3	U93205	NM_001288
HGNC:2063	CLIC2	chloride intracellular channel 2	Approved			XAP121	Xq28	AJ000217	NM_001289
HGNC:2064	CLIC3	chloride intracellular channel 3	Approved				9q34.3	AF102166	NM_004669
HGNC:13518	CLIC4	chloride intracellular channel 4	Approved			DKFZP566G223, CLIC4L, P64H1, H1, huH1, p64H1	1p	AF097330	NM_013943
HGNC:13517	CLIC5	chloride intracellular channel 5	Approved				6p12.3	AF216941	
HGNC:2065	CLIC6	chloride intracellular channel 6	Approved	CLIC1L		CLIC5	21q22.12	AF426169	
HGNC:23186	CLINT1	clathrin interactor 1	Approved			ENTH, KIAA0171, EPNR, CLINT	5q33.3	AF434813	NM_014666
HGNC:10461	CLIP1	CAP-GLY domain containing linker protein 1	Approved	RSN	"restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)"	CYLN1, CLIP170, CLIP, CLIP-170	12q24.3		NM_002956
HGNC:2586	CLIP2	CAP-GLY domain containing linker protein 2	Approved	WBSCR4, CYLN2, WBSCR3	"cytoplasmic linker 2", "Williams-Beuren syndrome chromosome region 3"	CLIP-115, KIAA0291, WSCR4, CLIP, WSCR3	7q11.23	AB006629	NM_003388
HGNC:24314	CLIP3	CAP-GLY domain containing linker protein 3	Approved			CLIPR-59, RSNL1	19q13.12	AJ427922	NM_015526
HGNC:26108	CLIP4	CAP-GLY domain containing linker protein family, member 4	Approved	RSNL2	"restin-like 2"	FLJ21069	2p23	AK024722	NM_024692
HGNC:2068	CLK1	CDC-like kinase 1	Approved				2q33	L29219	
HGNC:2069	CLK2	CDC-like kinase 2	Approved			clk2	1q21	L29218	NM_003993
HGNC:2071	CLK3	CDC-like kinase 3	Approved			clk3	15q24	L29220	
HGNC:13659	CLK4	CDC-like kinase 4	Approved				5q35	AF294429	
HGNC:29841	CLLU1	chronic lymphocytic leukemia up-regulated 1	Approved				12q22	AJ845162	NM_001025233
HGNC:24070	CLLU1OS	chronic lymphocytic leukemia up-regulated 1 opposite strand	Approved		"chronic lymphocytic leukemia up-regulated 1 overlapping strand"		12q22	AJ845168	
HGNC:19972	CLMN	calmin (calponin-like, transmembrane)	Approved			FLJ12383, KIAA1188, KIAA0500	14q32.13	AB033014	
HGNC:24039	CLMP	CXADR-like membrane protein	Approved			ASAM, FLJ22415, ACAM	11q24	BC009371	NM_024769
HGNC:2074	CLN3	ceroid-lipofuscinosis, neuronal 3	Approved	BTS	"Batten, Spielmeyer-Vogt disease"	JNCL	16p12	U32680	
HGNC:2076	CLN5	ceroid-lipofuscinosis, neuronal 5	Approved				13q21.2-q32		NM_006493
HGNC:2077	CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant	Approved			FLJ20561, HsT18960, nclf	15q23	AK000568	NM_017882
HGNC:2079	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	Approved	EPMR, C8orf61	"chromosome 8 open reading frame 61"	FLJ39417	8p23.3	AF123761	NM_018941
HGNC:17438	CLNK	cytokine-dependent hematopoietic cell linker	Approved			MIST	4p16.1	AB032369	NM_052964
HGNC:2080	CLNS1A	chloride channel, nucleotide-sensitive, 1A	Approved	CLCI		ICln	11q13.5-q14	U17899	NM_001293
HGNC:2082	CLOCK	clock circadian regulator	Approved		"clock (mouse) homolog", "clock homolog (mouse)"	KIAA0334, KAT13D, bHLHe8	4q12	AF011568	NM_004898
HGNC:16999	CLP1	cleavage and polyadenylation factor I subunit 1	Approved		"CLP1, cleavage and polyadenylation factor I subunit, homolog (S. cerevisiae)"	HEAB, hClp1	11q12.1	BC000446	NM_006831
HGNC:30664	CLPB	ClpB caseinolytic peptidase B homolog (E. coli)	Approved			HSP78, SKD3, FLJ13152	11q13.4	BC006404	NM_030813
HGNC:2084	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	Approved		"ClpP (caseinolytic protease, ATP-dependent, proteolytic subunit, E. coli) homolog", "ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)", "ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)"		19p13.3	Z50853	NM_006012
HGNC:2085	CLPS	colipase, pancreatic	Approved				6p21.31		NM_001832
HGNC:21251	CLPSL1	colipase-like 1	Approved	C6orf127	"chromosome 6 open reading frame 127"	dJ510O8.6	6p21.31		NM_001010886
HGNC:21250	CLPSL2	colipase-like 2	Approved	C6orf126	"chromosome 6 open reading frame 126"	dJ510O8.5, UNQ3045	6p21.31		NM_207409
HGNC:2087	CLPTM1	cleft lip and palate associated transmembrane protein 1	Approved				19q13.3	AF037339	NM_001294
HGNC:24308	CLPTM1L	CLPTM1-like	Approved			FLJ14400, CRR9	5p15.33	AK027306	NM_030782
HGNC:2088	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	Approved		"ClpX (caseinolytic protease X, E. coli) homolog", "ClpX caseinolytic protease X homolog (E. coli)", "ClpX caseinolytic peptidase X homolog (E. coli)"		15q22.31	AJ006267	NM_006660
HGNC:12605	CLRN1	clarin 1	Approved	USH3, USH3A, RP61	"Usher syndrome 3A"		3q25.1	AF388366	
HGNC:33939	CLRN2	clarin 2	Approved				4p15.32		NM_001079827
HGNC:20795	CLRN3	clarin 3	Approved	TMEM12	"transmembrane protein 12"	MGC32871, USH3AL1	10q26.2	BC029478	NM_152311
HGNC:19715	CLSPN	claspin	Approved		"claspin homolog (Xenopus laevis)"		1p34.3	AF297866	NM_022111
HGNC:17447	CLSTN1	calsyntenin 1	Approved			CSTN1, KIAA0911, CDHR12	1p36.22	AB020718	
HGNC:17448	CLSTN2	calsyntenin 2	Approved			CSTN2, CS2, FLJ39113, CDHR13	3q23	AJ278018	NM_022131
HGNC:18371	CLSTN3	calsyntenin 3	Approved			CSTN3, KIAA0726, CDHR14	12p13.31	AB018269	NM_014718
HGNC:2090	CLTA	clathrin, light chain A	Approved		"clathrin, light polypeptide (Lca)"	Lca	9p13.3		NM_007096
HGNC:2091	CLTB	clathrin, light chain B	Approved		"clathrin, light polypeptide (Lcb)"	Lcb	5q35.2	M20470	
HGNC:2092	CLTC	clathrin, heavy chain (Hc)	Approved	CLTCL2	"clathrin, heavy polypeptide (Hc)", "clathrin, heavy chain", "clathrin, heavy polypeptide-like 2"	Hc	17q23.1	X55878	NM_004859
HGNC:2093	CLTCL1	clathrin, heavy chain-like 1	Approved	CLTCL	"clathrin, heavy polypeptide-like 1"	CLTD, CLH22, CHC22	22q11.2		NM_007098
HGNC:2095	CLU	clusterin	Approved	CLI, APOJ	"clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)"	SGP-2, SP-40, TRPM-2, KUB1, CLU1, CLU2	8p21-p12	M64722	NM_001831
HGNC:19009	CLUAP1	clusterin associated protein 1	Approved			FLJ13297, KIAA0643, FAP22, CFAP22	16p13.3	BC017070	NM_024793
HGNC:29094	CLUH	clustered mitochondria (cluA/CLU1) homolog	Approved	KIAA0664	"KIAA0664"	CLU1	17p13.3	AB014564	NM_015229
HGNC:2096	CLUL1	clusterin-like 1 (retinal)	Approved				18p11.32	D63813	
HGNC:23139	CLVS1	clavesin 1	Approved	RLBP1L1	"retinaldehyde binding protein 1-like 1"	MGC34646, CRALBPL, C6orf212L	8q12.1	AY094971	NM_173519
HGNC:23046	CLVS2	clavesin 2	Approved	C6orf212, C6orf213, RLBP1L2	"chromosome 6 open reading frame 212", "chromosome 6 open reading frame 213", "retinaldehyde binding protein 1-like 2"	bA160A10.4	6q22.31	AK095527	NM_001010852
HGNC:18355	CLYBL	citrate lyase beta like	Approved			CLB	13q32.3	AF428253	
HGNC:2097	CMA1	chymase 1, mast cell	Approved				14q12		
HGNC:18290	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase	Approved				12p12.1	AF271388	NM_018686
HGNC:25090	CMBL	carboxymethylenebutenolidase homolog (Pseudomonas)	Approved		"carboxymethylenebutenolidase-like (Pseudomonas)"	FLJ23617	5p15.2		NM_138809
HGNC:28783	CMC1	C-x(9)-C motif containing 1	Approved	C3orf68	"chromosome 3 open reading frame 68", "COX assembly mitochondrial protein 1 homolog (S. cerevisiae)"	MGC61571	3p24.1	BC052644	NM_182523
HGNC:24447	CMC2	C-x(9)-C motif containing 2	Approved	C16orf61	"chromosome 16 open reading frame 61", "COX assembly mitochondrial protein 2 homolog (S. cerevisiae)"	DC13, MGC45036	16q23.2	BC032631	NM_020188
HGNC:35428	CMC4	C-x(9)-C motif containing 4	Approved	MTCP1, MTCP1NB	"mature T-cell proliferation 1 neighbor", "C-x(9)-C motif containing 4 homolog (S. cerevisiae)"	P8MTCP1, p8	Xq28		NM_001018024.2
HGNC:24319	CMIP	c-Maf inducing protein	Approved				16q23	AB051481	NM_030629
HGNC:2121	CMKLR1	chemokine-like receptor 1	Approved			RVER1	12q23.3	U79526	
HGNC:18170	CMPK1	cytidine monophosphate (UMP-CMP) kinase 1, cytosolic	Approved	CMPK	"cytidylate kinase"	UMP-CMPK	1p34.1-p33	AF070416	NM_016308
HGNC:27015	CMPK2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial	Approved			TYKi, UMP-CMPK2	2p25.2		NM_207315
HGNC:28666	CMSS1	cms1 ribosomal small subunit homolog (yeast)	Approved	C3orf26	"chromosome 3 open reading frame 26"	MGC4308	3q12.1		NM_032359
HGNC:19172	CMTM1	CKLF-like MARVEL transmembrane domain containing 1	Approved	CKLFSF1	"chemokine-like factor super family 1", "chemokine-like factor superfamily 1"	CKLFH1a, CKLFH	16q22.1	AF278577	NM_052999
HGNC:19173	CMTM2	CKLF-like MARVEL transmembrane domain containing 2	Approved	CKLFSF2	"chemokine-like factor super family 2", "chemokine-like factor superfamily 2"	MGC39436, FLJ25732	16q22.1-q22.3	BC025354	
HGNC:19174	CMTM3	CKLF-like MARVEL transmembrane domain containing 3	Approved	CKLFSF3	"chemokine-like factor superfamily 3"	FLJ31762, BNAS2	16q22.1-q22.3	AK056324	NM_144601
HGNC:19175	CMTM4	CKLF-like MARVEL transmembrane domain containing 4	Approved	CKLFSF4	"chemokine-like factor super family 4", "chemokine-like factor superfamily 4"		16q22.1-q22.3	AF479814	
HGNC:19176	CMTM5	CKLF-like MARVEL transmembrane domain containing 5	Approved	CKLFSF5	"chemokine-like factor super family 5", "chemokine-like factor superfamily 5"	FLJ37521	14q11.2	BC013109	
HGNC:19177	CMTM6	CKLF-like MARVEL transmembrane domain containing 6	Approved	CKLFSF6	"chemokine-like factor super family 6", "chemokine-like factor superfamily 6"	FLJ20396	3p22.2	AK000403	
HGNC:19178	CMTM7	CKLF-like MARVEL transmembrane domain containing 7	Approved	CKLFSF7	"chemokine-like factor super family 7", "chemokine-like factor superfamily 7"	FLJ30992	3p22.2	AF479263	
HGNC:19179	CMTM8	CKLF-like MARVEL transmembrane domain containing 8	Approved	CKLFSF8	"chemokine-like factor super family 8", "chemokine-like factor superfamily 8"		3p22.2	AF474370	NM_178868
HGNC:21077	CMTR1	cap methyltransferase 1	Approved	KIAA0082, FTSJD2	"KIAA0082", "FtsJ methyltransferase domain containing 2"	MTr1, ISG95	6p21.2	BC031890	NM_015050
HGNC:25635	CMTR2	cap methyltransferase 2	Approved	FTSJD1	"FtsJ methyltransferase domain containing 1"	FLJ11171, AFT, MTr2	16q22.2	BC035005	NM_018348
HGNC:14305	CMYA5	cardiomyopathy associated 5	Approved	C5orf10	"chromosome 5 open reading frame 10"	myospryn, SPRYD2, DKFZp451G223, TRIM76	5q14.1	AW755254, AL831986	NM_153610
HGNC:26663	CNBD1	cyclic nucleotide binding domain containing 1	Approved			FLJ35802	8q21.3	AK093121	NM_173538
HGNC:16145	CNBD2	cyclic nucleotide binding domain containing 2	Approved	C20orf152, CNMPD1	"chromosome 20 open reading frame 152", "cyclic nucleotide (cNMP) binding domain containing 1"	dJ954P9.1	20q11.23	AL359828	NM_080834
HGNC:13164	CNBP	CCHC-type zinc finger, nucleic acid binding protein	Approved	DM2, ZNF9	"zinc finger protein 9 (a cellular retroviral nucleic acid binding protein)", "zinc finger protein 9"	RNF163, ZCCHC22, CNBP1	3q21	U19765	NM_003418
HGNC:20675	CNDP1	carnosine dipeptidase 1 (metallopeptidase M20 family)	Approved			MGC10825, CN1, CPGL2, HsT2308	18q22.3		NM_032649
HGNC:24437	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)	Approved	PEPA	"peptidase A"	FLJ10830, CN2, HsT2298, CPGL	18q22.3	AK001692	NM_018235
HGNC:26759	CNEP1R1	CTD nuclear envelope phosphatase 1 regulatory subunit 1	Approved	C16orf69, TMEM188	"chromosome 16 open reading frame 69", "transmembrane protein 188"	FLJ38101, NEP1-R1	16q12.1	AK095420	NM_153261
HGNC:30183	CNFN	cornifelin	Approved			PLAC8L2	19q13.31	AB049591	NM_032488
HGNC:2148	CNGA1	cyclic nucleotide gated channel alpha 1	Approved	CNCG1, CNCG		RCNC1, RCNCa, CNG1, RP49	4p12	M84741	NM_000087
HGNC:2149	CNGA2	cyclic nucleotide gated channel alpha 2	Approved	CNCA1, CNCA		CNG2, OCNC1, OCNCa, OCNCALPHA, OCNCalpha, FLJ46312	Xq27	S76067	NM_005140
HGNC:2150	CNGA3	cyclic nucleotide gated channel alpha 3	Approved	CNCG3, ACHM2		CCNC1, CCNCa, CNG3	2q11.2	S76069	NM_001298
HGNC:2152	CNGA4	cyclic nucleotide gated channel alpha 4	Approved	CNCA2, CNGB2	"cyclic nucleotide gated channel beta 2"	OCNC2, OCNCb, CNG5	11p15.4	AK122736	NM_001037329
HGNC:2151	CNGB1	cyclic nucleotide gated channel beta 1	Approved	CNCG2, CNCG3L		RCNC2, RCNCb, GARP, GAR1, CNGB1B, RP45	16q13	AF042498	NM_001297
HGNC:2153	CNGB3	cyclic nucleotide gated channel beta 3	Approved	ACHM3, ACHM1, RMCH	"achromatopsia (rod monochromacy) 3", "achromatopsia (rod monochromacy) 1"		8q21.3	AF228520	NM_019098
HGNC:19431	CNIH1	cornichon family AMPA receptor auxiliary protein 1	Approved	CNIH	"cornichon homolog (Drosophila)"	TGAM77, CNIL	14q22.1	AF031379	NM_005776
HGNC:28744	CNIH2	cornichon family AMPA receptor auxiliary protein 2	Approved		"cornichon homolog 2 (Drosophila)"	MGC50896, Cnil, CNIH-2	11q13.2	BC047953	NM_182553
HGNC:26802	CNIH3	cornichon family AMPA receptor auxiliary protein 3	Approved		"cornichon homolog 3 (Drosophila)"	FLJ38993, CNIH-3	1q42.12	AF070524	NM_152495
HGNC:25013	CNIH4	cornichon family AMPA receptor auxiliary protein 4	Approved		"cornichon homolog 4 (Drosophila)"	HSPC163	1q42.12		NM_014184
HGNC:19700	CNKSR1	connector enhancer of kinase suppressor of Ras 1	Approved			CNK1, KSR, CNK	1p35.3	AF100153	NM_006314
HGNC:19701	CNKSR2	connector enhancer of kinase suppressor of Ras 2	Approved			KIAA0902, CNK2, KSR2	Xp22.12	AB020709	NM_014927
HGNC:23034	CNKSR3	CNKSR family member 3	Approved	MAGI1	"membrane associated guanylate kinase interacting protein-like 1"	FLJ31349	6q25.2	AK055911	NM_173515
HGNC:2155	CNN1	calponin 1, basic, smooth muscle	Approved			SMCC, Sm-Calp	19p13.2-p13.1	U37019	NM_001299
HGNC:2156	CNN2	calponin 2	Approved				19p13.3	D83735	NM_004368
HGNC:2157	CNN3	calponin 3, acidic	Approved				1p22-p21	BC025372	NM_001839
HGNC:102	CNNM1	cyclin and CBS domain divalent metal cation transport mediator 1	Approved	ACDP1	"cyclin M1"		10q24.2	AF169226	NM_020348
HGNC:103	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	Approved	ACDP2	"cyclin M2"		10q24.32	AF216962	NM_017649
HGNC:104	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3	Approved	ACDP3	"cyclin M3"		2q11.2	AF216965	NM_017623
HGNC:105	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	Approved	ACDP4	"cyclin M4"	KIAA1592	2q11.2	AB046812	NM_020184
HGNC:7877	CNOT1	CCR4-NOT transcription complex, subunit 1	Approved	NOT1		CDC39, NOT1H, KIAA1007, AD-005	16q21	AL833549	NM_016284
HGNC:7878	CNOT2	CCR4-NOT transcription complex, subunit 2	Approved	NOT2		CDC36, NOT2H	12q15	AF180473	
HGNC:7879	CNOT3	CCR4-NOT transcription complex, subunit 3	Approved	NOT3		NOT3H, KIAA0691, LENG2	19q13.4	AF180474	NM_014516
HGNC:7880	CNOT4	CCR4-NOT transcription complex, subunit 4	Approved	NOT4		CLONE243, NOT4H	7q33	AF180475	NM_013316
HGNC:14099	CNOT6	CCR4-NOT transcription complex, subunit 6	Approved			CCR4, KIAA1194, Ccr4a	5q35.3	AB033020	NM_015455
HGNC:18042	CNOT6L	CCR4-NOT transcription complex, subunit 6-like	Approved			DKFZp434K098, Ccr4b	4q13.3	AL133112	
HGNC:14101	CNOT7	CCR4-NOT transcription complex, subunit 7	Approved	CAF1			8p22-p21.3	L46722	NM_013354
HGNC:9207	CNOT8	CCR4-NOT transcription complex, subunit 8	Approved	POP2		CAF1, hCAF1, CALIF	5q31-q33	AF053318	NM_004779
HGNC:23817	CNOT10	CCR4-NOT transcription complex, subunit 10	Approved			FLJ12890, FLJ13165	3p23	BC002928	NM_015442
HGNC:25217	CNOT11	CCR4-NOT transcription complex, subunit 11	Approved	C2orf29	"chromosome 2 open reading frame 29"	C40	2q12.1	AF103798	NM_017546
HGNC:2158	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	Approved				17q21		
HGNC:25220	CNPPD1	cyclin Pas1/PHO80 domain containing 1	Approved	C2orf24	"chromosome 2 open reading frame 24"	CGI-57	2q36	AF070638	NM_015680
HGNC:27786	CNPY1	canopy FGF signaling regulator 1	Approved		"canopy 1 homolog (zebrafish)"		7q36.3		XM_001129537
HGNC:13529	CNPY2	canopy FGF signaling regulator 2	Approved	TMEM4	"transmembrane protein 4", "canopy 2 homolog (zebrafish)"	HP10390, ZSIG9, Cnpy2	12q15	AB015631	NM_014255
HGNC:11968	CNPY3	canopy FGF signaling regulator 3	Approved	TNRC5	"trinucleotide repeat containing 5", "canopy 3 homolog (zebrafish)"	CAG4A	6p21.1	U80744	NM_006586
HGNC:28631	CNPY4	canopy FGF signaling regulator 4	Approved		"canopy 4 homolog (zebrafish)"	MGC40499, PRAT4B	7q22.1	AK075537	NM_152755
HGNC:2159	CNR1	cannabinoid receptor 1 (brain)	Approved	CNR		CB1K5, CB-R, CB1, CANN6, CB1A	6q14-q15	AF107262	
HGNC:2160	CNR2	cannabinoid receptor 2 (macrophage)	Approved			CB2	1p	X74328	NM_001841
HGNC:24546	CNRIP1	cannabinoid receptor interacting protein 1	Approved	C2orf32	"chromosome 2 open reading frame 32"	DKFZP566K1924, CRIP1, CRIP1a, CRIP1b	2p13	AL110235	NM_015463
HGNC:26486	CNST	consortin, connexin sorting protein	Approved	C1orf71	"chromosome 1 open reading frame 71"	FLJ32001, PPP1R64	1q44	AK056563	NM_152609
HGNC:26847	CNTD1	cyclin N-terminal domain containing 1	Approved	CNTD	"cyclin N-terminal domain containing"	FLJ40137	17q21.31	AK097456	NM_173478
HGNC:25805	CNTD2	cyclin N-terminal domain containing 2	Approved			FLJ13265, CCNP	19q13.2	AK023327	NM_024877
HGNC:2169	CNTF	ciliary neurotrophic factor	Approved			HCNTF	11q12	BC068030	NM_000614
HGNC:2170	CNTFR	ciliary neurotrophic factor receptor	Approved				9p13	M73238	
HGNC:23432	CNTLN	centlein, centrosomal protein	Approved	C9orf101, C9orf39	"chromosome 9 open reading frame 101", "chromosome 9 open reading frame 39"	FLJ20276, bA340N12.1, OTTHUMG00000019597	9p22.2-p22.1	AK000283	NM_017738
HGNC:2171	CNTN1	contactin 1	Approved			F3, GP135	12q11-q12	Z21488	NM_001843
HGNC:2172	CNTN2	contactin 2 (axonal)	Approved	TAX, AXT		TAG-1, TAX1	1q32.1	X67734	NM_005076
HGNC:2173	CNTN3	contactin 3 (plasmacytoma associated)	Approved	PANG		BIG-1	3p12.3	AB040929	NM_020872
HGNC:2174	CNTN4	contactin 4	Approved			BIG-2	3p26.3	AW665944	
HGNC:2175	CNTN5	contactin 5	Approved			NB-2, hNB-2	11q22.1	AB013802	NM_014361
